NRCPTOT,NAME,state_code,county
116161,"Washington Parish, Louisiana",Louisiana,117
224037,"St. Landry Parish, Louisiana",Louisiana,97
406717,"Tangipahoa Parish, Louisiana",Louisiana,105
194777,"Acadia Parish, Louisiana",Louisiana,1
139511,"St. Mary Parish, Louisiana",Louisiana,101
25489,"West Carroll Parish, Louisiana",Louisiana,123
1386761,"St. Tammany Parish, Louisiana",Louisiana,103
56620,"Union Parish, Louisiana",Louisiana,111
11858,"Kidder County, North Dakota",North Dakota,43
161464,"Williams County, North Dakota",North Dakota,105
5916,"Billings County, North Dakota",North Dakota,7
17758,"Dickey County, North Dakota",North Dakota,21
14102,"Cavalier County, North Dakota",North Dakota,19
210306,"Ward County, North Dakota",North Dakota,101
8159,"Grant County, North Dakota",North Dakota,37
21311,"McHenry County, North Dakota",North Dakota,49
20885,"Pembina County, North Dakota",North Dakota,67
9515,"Steele County, North Dakota",North Dakota,91
11076,"Benson County, North Dakota",North Dakota,5
6360,"Hettinger County, North Dakota",North Dakota,41
13406,"LaMoure County, North Dakota",North Dakota,45
143057,"Morton County, North Dakota",North Dakota,59
822888,"Cass County, North Dakota",North Dakota,17
28507,"Dunn County, North Dakota",North Dakota,25
9049,"Emmons County, North Dakota",North Dakota,29
9774,"McIntosh County, North Dakota",North Dakota,51
9330,"Nelson County, North Dakota",North Dakota,63
67340,"Richland County, North Dakota",North Dakota,77
18737,"Rolette County, North Dakota",North Dakota,79
35123,"Walsh County, North Dakota",North Dakota,99
10142,"Adams County, North Dakota",North Dakota,1
27887,"Bottineau County, North Dakota",North Dakota,9
44302,"Barnes County, North Dakota",North Dakota,3
7885,"Eddy County, North Dakota",North Dakota,27
197671,"Grand Forks County, North Dakota",North Dakota,35
59136,"McKenzie County, North Dakota",North Dakota,53
15642,"Mercer County, North Dakota",North Dakota,57
27990,"McLean County, North Dakota",North Dakota,55
12070,"Pierce County, North Dakota",North Dakota,69
16543,"Ransom County, North Dakota",North Dakota,73
8169,"Renville County, North Dakota",North Dakota,75
3568,"Sioux County, North Dakota",North Dakota,85
10645,"Bowman County, North Dakota",North Dakota,11
425910,"Burleigh County, North Dakota",North Dakota,15
7785,"Golden Valley County, North Dakota",North Dakota,33
8537,"Logan County, North Dakota",North Dakota,47
5886,"Oliver County, North Dakota",North Dakota,65
6486,"Towner County, North Dakota",North Dakota,95
59421,"Stutsman County, North Dakota",North Dakota,93
38718,"Ramsey County, North Dakota",North Dakota,71
8438,"Divide County, North Dakota",North Dakota,23
16364,"Foster County, North Dakota",North Dakota,31
9418,"Griggs County, North Dakota",North Dakota,39
13071,"Sargent County, North Dakota",North Dakota,81
4662,"Sheridan County, North Dakota",North Dakota,83
3330,"Slope County, North Dakota",North Dakota,87
41159,"Meigs County, Ohio",Ohio,105
188627,"Union County, Ohio",Ohio,159
96567,"Champaign County, Ohio",Ohio,21
59566,"Pike County, Ohio",Ohio,131
41347,"Paulding County, Ohio",Ohio,125
448743,"Greene County, Ohio",Ohio,57
2934057,"Hamilton County, Ohio",Ohio,61
4903315,"Franklin County, Ohio",Ohio,49
98738,"Lawrence County, Ohio",Ohio,87
120701,"Marion County, Ohio",Ohio,101
27834,"Morgan County, Ohio",Ohio,115
285028,"Tuscarawas County, Ohio",Ohio,157
480295,"Wayne County, Ohio",Ohio,169
58259,"Wyandot County, Ohio",Ohio,175
115490,"Brown County, Ohio",Ohio,15
1121936,"Butler County, Ohio",Ohio,17
200162,"Erie County, Ohio",Ohio,43
49894,"Harrison County, Ohio",Ohio,67
237550,"Knox County, Ohio",Ohio,83
553872,"Licking County, Ohio",Ohio,89
318406,"Richland County, Ohio",Ohio,139
26975,"Vinton County, Ohio",Ohio,163
90482,"Carroll County, Ohio",Ohio,19
212503,"Hancock County, Ohio",Ohio,63
625477,"Clermont County, Ohio",Ohio,25
487410,"Fairfield County, Ohio",Ohio,45
88289,"Defiance County, Ohio",Ohio,39
142959,"Highland County, Ohio",Ohio,71
66963,"Henry County, Ohio",Ohio,69
112241,"Jefferson County, Ohio",Ohio,81
477805,"Portage County, Ohio",Ohio,133
84278,"Putnam County, Ohio",Ohio,137
139117,"Belmont County, Ohio",Ohio,13
111855,"Clinton County, Ohio",Ohio,27
68132,"Fayette County, Ohio",Ohio,47
85389,"Perry County, Ohio",Ohio,127
147045,"Pickaway County, Ohio",Ohio,129
132582,"Logan County, Ohio",Ohio,91
120081,"Madison County, Ohio",Ohio,97
392260,"Ascension Parish, Louisiana",Louisiana,5
22108,"Caldwell Parish, Louisiana",Louisiana,21
889581,"Caddo Parish, Louisiana",Louisiana,17
14186,"East Carroll Parish, Louisiana",Louisiana,35
1278173,"Lafayette Parish, Louisiana",Louisiana,55
66234,"Evangeline Parish, Louisiana",Louisiana,39
234261,"Iberia Parish, Louisiana",Louisiana,45
153979,"Lincoln Parish, Louisiana",Louisiana,61
148790,"St. Bernard Parish, Louisiana",Louisiana,87
24141,"St. Helena Parish, Louisiana",Louisiana,91
112233,"Webster Parish, Louisiana",Louisiana,119
69671,"West Baton Rouge Parish, Louisiana",Louisiana,121
78670,"De Soto Parish, Louisiana",Louisiana,31
74997,"Iberville Parish, Louisiana",Louisiana,47
20332,"Red River Parish, Louisiana",Louisiana,81
411848,"Livingston Parish, Louisiana",Louisiana,63
55023,"Morehouse Parish, Louisiana",Louisiana,67
103712,"Natchitoches Parish, Louisiana",Louisiana,69
1717536,"Orleans Parish, Louisiana",Louisiana,71
361141,"Terrebonne Parish, Louisiana",Louisiana,109
21847,"Catahoula Parish, Louisiana",Louisiana,25
654137,"Calcasieu Parish, Louisiana",Louisiana,19
31495,"Claiborne Parish, Louisiana",Louisiana,27
53954,"Franklin Parish, Louisiana",Louisiana,41
98935,"Avoyelles Parish, Louisiana",Louisiana,9
56980,"Assumption Parish, Louisiana",Louisiana,7
31282,"Jackson Parish, Louisiana",Louisiana,49
72282,"Pointe Coupee Parish, Louisiana",Louisiana,77
180375,"Vermilion Parish, Louisiana",Louisiana,113
168145,"St. Charles Parish, Louisiana",Louisiana,89
298554,"Lafourche Parish, Louisiana",Louisiana,57
44699,"Concordia Parish, Louisiana",Louisiana,29
11986,"Tensas Parish, Louisiana",Louisiana,107
41084,"LaSalle Parish, Louisiana",Louisiana,59
185808,"Oxford County, Maine",Maine,17
189296,"Lincoln County, Maine",Maine,15
151736,"Waldo County, Maine",Maine,27
394280,"Penobscot County, Maine",Maine,19
43217,"Piscataquis County, Maine",Maine,21
305970,"Androscoggin County, Maine",Maine,1
170989,"Aroostook County, Maine",Maine,3
177620,"Washington County, Maine",Maine,29
1609538,"Cumberland County, Maine",Maine,5
298813,"Knox County, Maine",Maine,13
128361,"Sagadahoc County, Maine",Maine,23
890347,"York County, Maine",Maine,31
353632,"Kennebec County, Maine",Maine,11
82024,"Franklin County, Maine",Maine,7
124098,"Somerset County, Maine",Maine,25
363243,"Hancock County, Maine",Maine,9
281025,"Worcester County, Maryland",Maryland,47
1527746,"Baltimore city, Maryland",Maryland,510
49086,"Somerset County, Maryland",Maryland,39
230814,"Talbot County, Maryland",Maryland,41
779003,"Harford County, Maryland",Maryland,25
110436,"Allegany County, Maryland",Maryland,1
1475516,"Howard County, Maryland",Maryland,27
2598657,"Prince George's County, Maryland",Maryland,33
2255930,"Anne Arundel County, Maryland",Maryland,3
3292014,"Baltimore County, Maryland",Maryland,5
960758,"Frederick County, Maryland",Maryland,21
297142,"Calvert County, Maryland",Maryland,9
105112,"Garrett County, Maryland",Maryland,23
89956,"Kent County, Maryland",Maryland,29
6239072,"Montgomery County, Maryland",Maryland,31
573199,"Carroll County, Maryland",Maryland,13
284018,"Queen Anne's County, Maryland",Maryland,35
297389,"St. Mary's County, Maryland",Maryland,37
408240,"Charles County, Maryland",Maryland,17
95682,"Dorchester County, Maryland",Maryland,19
409018,"Washington County, Maryland",Maryland,43
302733,"Wicomico County, Maryland",Maryland,45
263805,"Cecil County, Maryland",Maryland,15
122733,"Caroline County, Maryland",Maryland,11
3663948,"Suffolk County, Massachusetts",Massachusetts,25
1451831,"Barnstable County, Massachusetts",Massachusetts,1
269974,"Dukes County, Massachusetts",Massachusetts,7
8418075,"Middlesex County, Massachusetts",Massachusetts,17
472793,"Berkshire County, Massachusetts",Massachusetts,3
1720550,"Bristol County, Massachusetts",Massachusetts,5
1276163,"Hampden County, Massachusetts",Massachusetts,13
2195160,"Plymouth County, Massachusetts",Massachusetts,23
3607846,"Essex County, Massachusetts",Massachusetts,9
231209,"Franklin County, Massachusetts",Massachusetts,11
3978974,"Norfolk County, Massachusetts",Massachusetts,21
125041,"Shelby County, Ohio",Ohio,149
1775566,"Summit County, Ohio",Ohio,153
217284,"Muskingum County, Ohio",Ohio,119
117104,"Sandusky County, Ohio",Ohio,143
69234,"Van Wert County, Ohio",Ohio,161
164611,"Washington County, Ohio",Ohio,167
94608,"Williams County, Ohio",Ohio,171
121648,"Auglaize County, Ohio",Ohio,11
263071,"Columbiana County, Ohio",Ohio,29
157095,"Darke County, Ohio",Ohio,37
128906,"Ottawa County, Ohio",Ohio,123
138217,"Fulton County, Ohio",Ohio,51
60884,"Hardin County, Ohio",Ohio,65
72063,"Jackson County, Ohio",Ohio,79
82592,"Gallia County, Ohio",Ohio,53
142830,"Huron County, Ohio",Ohio,77
669273,"Mahoning County, Ohio",Ohio,99
127958,"Athens County, Ohio",Ohio,9
72238,"Adams County, Ohio",Ohio,1
127266,"Scioto County, Ohio",Ohio,145
692277,"Medina County, Ohio",Ohio,103
1123486,"Lucas County, Ohio",Ohio,95
145196,"Morrow County, Ohio",Ohio,117
32365,"Noble County, Ohio",Ohio,121
111793,"Preble County, Ohio",Ohio,135
118218,"Seneca County, Ohio",Ohio,147
1058293,"Stark County, Ohio",Ohio,151
237380,"Allen County, Ohio",Ohio,3
109514,"Coshocton County, Ohio",Ohio,31
95035,"Crawford County, Ohio",Ohio,33
1049646,"Delaware County, Ohio",Ohio,41
680388,"Geauga County, Ohio",Ohio,55
105173,"Guernsey County, Ohio",Ohio,59
80788,"Hocking County, Ohio",Ohio,73
776198,"Lake County, Ohio",Ohio,85
132038,"Mercer County, Ohio",Ohio,107
164281,"Ross County, Ohio",Ohio,141
269799,"Clark County, Ohio",Ohio,23
4511090,"Cuyahoga County, Ohio",Ohio,35
367425,"Holmes County, Ohio",Ohio,75
765316,"Lorain County, Ohio",Ohio,93
311144,"Miami County, Ohio",Ohio,109
36682,"Monroe County, Ohio",Ohio,111
1401392,"Montgomery County, Ohio",Ohio,113
591413,"Trumbull County, Ohio",Ohio,155
893702,"Warren County, Ohio",Ohio,165
353521,"Wood County, Ohio",Ohio,173
167303,"Ashland County, Ohio",Ohio,5
279143,"Ashtabula County, Ohio",Ohio,7
24557,"Dewey County, Oklahoma",Oklahoma,43
11124,"Harper County, Oklahoma",Oklahoma,59
91904,"Kay County, Oklahoma",Oklahoma,71
191683,"Logan County, Oklahoma",Oklahoma,83
40068,"Craig County, Oklahoma",Oklahoma,35
2619514,"Tulsa County, Oklahoma",Oklahoma,143
144714,"Washington County, Oklahoma",Oklahoma,147
530634,"Canadian County, Oklahoma",Oklahoma,17
7640,"Harmon County, Oklahoma",Oklahoma,57
41373,"Haskell County, Oklahoma",Oklahoma,61
38689,"Latimer County, Oklahoma",Oklahoma,77
93033,"Okmulgee County, Oklahoma",Oklahoma,111
127071,"Osage County, Oklahoma",Oklahoma,113
58345,"Texas County, Oklahoma",Oklahoma,139
15916,"Jefferson County, Oklahoma",Oklahoma,67
41029,"Pushmataha County, Oklahoma",Oklahoma,127
181947,"Garfield County, Oklahoma",Oklahoma,47
109509,"Garvin County, Oklahoma",Oklahoma,49
23959,"Johnston County, Oklahoma",Oklahoma,69
113578,"Pittsburg County, Oklahoma",Oklahoma,121
135207,"Pontotoc County, Oklahoma",Oklahoma,123
15763,"Roger Mills County, Oklahoma",Oklahoma,129
81274,"Woodward County, Oklahoma",Oklahoma,153
119452,"Cherokee County, Oklahoma",Oklahoma,21
130520,"Delaware County, Oklahoma",Oklahoma,41
12554,"Ellis County, Oklahoma",Oklahoma,45
186402,"Grady County, Oklahoma",Oklahoma,51
243669,"Payne County, Oklahoma",Oklahoma,119
201418,"Pottawatomie County, Oklahoma",Oklahoma,125
215903,"Creek County, Oklahoma",Oklahoma,37
13393,"Tillman County, Oklahoma",Oklahoma,141
37100,"Washita County, Oklahoma",Oklahoma,149
9903,"Cotton County, Oklahoma",Oklahoma,33
24059,"Kiowa County, Oklahoma",Oklahoma,75
135822,"Le Flore County, Oklahoma",Oklahoma,79
114885,"McCurtain County, Oklahoma",Oklahoma,89
29708,"Major County, Oklahoma",Oklahoma,93
111544,"Mayes County, Oklahoma",Oklahoma,97
